Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Lionel Kunz",hard,35,Active,"IDEA Escalator Vestibules","IDEA Escalator Vestibules: Objective #2","1","19:21:27","N/A",
Bot6,"Ефрем Юрков",hard,3,Pending,"Railway Area","Railway Area: Objective #1","1","19:21:27","N/A",
Bot7,"Евгений Крупин",hard,11,Completed,"Power Station Switch","Power Station Switch: Objective #1","2","19:21:27","19:21:45",
Bot7,"Евгений Крупин",hard,11,Failed,"IDEA Office","IDEA Office: Objective #3","1","19:21:50","19:22:31",
Bot7,"Евгений Крупин",hard,11,Pending,"IDEA Office","IDEA Office: Objective #2","1","19:22:36","N/A",
Bot2,"Milan Seeger",hard,39,Pending,"Mantis","Mantis: Objective #2","1","19:21:27","N/A",
Bot4,"Фома Гусаров",hard,14,Pending,"Railway Area","Railway Area: Objective #1","1","19:21:27","N/A",
Bot5,"Пахом Хуртин",hard,11,Pending,"IDEA Escalator Top Room","IDEA Escalator Top Room: Objective #1","1","19:21:27","N/A",
Bot3,"Клим Арефьев",hard,17,Active,"IDEA Office","IDEA Office: Objective #1","1","19:21:27","N/A",
Bot9,"Емельян Шуйский",hard,35,Pending,"Emercom Extract North Entry","Emercom Extract North Entry: Objective #1","1","19:21:27","N/A",
Bot8,"Клим Чазов",hard,18,Active,"KIBA Alarm Panel 1","KIBA Alarm Panel 1: Objective #1","1","19:21:27","N/A",
