Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Royce Mcaleer",hard,8,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","19:01:20","19:01:42",
Bot2,"Dana Stabile",hard,9,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","19:01:21","19:02:13",
Bot2,"Dana Stabile",hard,9,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","19:02:18","19:02:37",
Bot2,"Dana Stabile",hard,9,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","19:02:42","19:02:58",
Bot3,"Miquel Lockridge",hard,10,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","19:01:21","19:02:26",
Bot3,"Miquel Lockridge",hard,10,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","19:02:31","19:03:08",
Bot3,"Miquel Lockridge",hard,10,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","19:03:13","19:03:33",
Bot3,"Miquel Lockridge",hard,10,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #1","1","19:03:38","19:04:07",
Bot3,"Miquel Lockridge",hard,10,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #2","1","19:04:12","19:04:17",
Bot3,"Miquel Lockridge",hard,10,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","19:04:22","19:05:10",
Bot4,"Julian Ramm",hard,4,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","19:01:23","19:04:18",
Bot5,"Доброслав Шихранов",hard,5,Failed,"Capital Insight Sniping","Capital Insight Sniping: Objective #1","1","19:01:24","19:08:08",
Bot5,"Доброслав Шихранов",hard,5,Failed,"Capital Insight Sniping","Capital Insight Sniping: Objective #2","1","19:01:39","19:08:08",
Bot5,"Доброслав Шихранов",hard,5,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","19:01:39","19:02:06",
Bot5,"Доброслав Шихранов",hard,5,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","19:02:11","19:08:08",
Bot6,"Данила Богров",hard,15,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","19:01:24","19:09:35",
Bot6,"Данила Богров",hard,15,Active,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","19:09:40","N/A",
Bot7,"Савва Вотяков",hard,2,Pending,"Kyshperski","Kyshperski: Objective #4","1","19:01:26","N/A",
Bot9,"Julian Hovis",hard,5,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","19:01:28","19:01:34",
Bot9,"Julian Hovis",hard,5,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","19:01:39","19:02:41",
Bot9,"Julian Hovis",hard,5,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","19:02:46","19:03:43",
Bot9,"Julian Hovis",hard,5,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","19:03:48","19:04:52",
Bot9,"Julian Hovis",hard,5,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","19:04:57","19:08:11",
