Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot320,"Phillip Boggs",hard,12,Completed,"Primorksy 46","Primorksy 46: Objective #1","1","19:27:20","19:27:42",
Bot320,"Phillip Boggs",hard,12,Completed,"Primorksy 46","Primorksy 46: Objective #7","1","19:27:47","19:28:05",
Bot320,"Phillip Boggs",hard,12,Active,"Primorksy 46","Primorksy 46: Objective #3","1","19:28:11","N/A",
Bot321,"Patricia Sher",hard,31,Pending,"Post Office","Post Office: Objective #2","1","19:27:21","N/A",
Bot322,"Waldo Marchese",hard,12,Active,"Primorksy 48 Apt 10","Primorksy 48 Apt 10: Objective #1","1","19:27:22","N/A",
Bot323,"Самуил Ильин",hard,30,Completed,"IT Firm Office","IT Firm Office: Objective #3","1","19:27:23","19:28:55",
Bot323,"Самуил Ильин",hard,30,Active,"IT Firm Office","IT Firm Office: Objective #1","1","19:29:00","N/A",
Bot324,"Илья Аллилуев",hard,21,Completed,"Checkannaya 15","Checkannaya 15: Objective #3","1","19:27:24","19:27:31",
Bot325,"Rodney Lochner",hard,20,Completed,"Shestyorochka","Shestyorochka: Objective #2","3","19:27:25","19:28:02",
Bot326,"Кондрат Суворов",hard,10,Active,"The Hive","The Hive: Objective #5","1","19:27:26","N/A",
Bot329,"Никита Зебра (Antwan)",normal,1,Active,"Anteka","Anteka: Objective #3","1","19:27:29","N/A",
Bot334,"Доброслав Форопонов",hard,12,Active,"Concordia Courtyard","Concordia Courtyard: Objective #1","1","19:27:35","N/A",
Bot335,"Павел Гришин",hard,12,Completed,"Construction","Construction: Objective #2","1","19:27:35","19:28:06",
Bot335,"Павел Гришин",hard,12,Pending,"Construction","Construction: Objective #1","1","19:28:12","N/A",
Bot352,"Афанасий Кислухин",hard,19,Active,"Pinewood Hotel Dentist","Pinewood Hotel Dentist: Objective #5","1","19:27:53","N/A",
Bot353,"Tensen Fanning",hard,23,Failed,"Nikitskaya 6","Nikitskaya 6: Objective #6","1","19:28:51","19:28:51",
Bot353,"Tensen Fanning",hard,23,Completed,"Nikitskaya 6","Nikitskaya 6: Objective #7","1","19:28:56","19:29:24",
Bot353,"Tensen Fanning",hard,23,Completed,"Nikitskaya 6","Nikitskaya 6: Objective #5","1","19:29:29","19:29:51",
Bot353,"Tensen Fanning",hard,23,Active,"Nikitskaya 6","Nikitskaya 6: Objective #4","1","19:29:56","N/A",
Bot354,"Houston Coughlin",hard,3,Failed,"Nikitskaya 6","Nikitskaya 6: Objective #6","1","19:28:52","19:28:52",
Bot354,"Houston Coughlin",hard,3,Pending,"Nikitskaya 6","Nikitskaya 6: Objective #7","1","19:28:57","N/A",
Bot355,"Johnathon Weekes",hard,29,Failed,"Nikitskaya 6","Nikitskaya 6: Objective #6","1","19:28:53","19:28:53",
Bot355,"Johnathon Weekes",hard,29,Pending,"Nikitskaya 6","Nikitskaya 6: Objective #7","1","19:28:58","N/A",
Bot356,"Jesse Thorpe",hard,24,Pending,"ALCO-Point","ALCO-Point: Objective #4","1","19:28:54","N/A",
Bot358,"Илюша Трехсотый (Gil)",normal,1,Pending,"Lexos Offices","Lexos Offices: Objective #3","1","19:29:47","N/A",
Bot359,"Армен Окунь (Rodney)",normal,1,Pending,"Lexos Offices","Lexos Offices: Objective #3","1","19:29:50","N/A",
Bot374,"Кайл Комитный (Isaiah)",normal,1,Pending,"IT Firm Office","IT Firm Office: Objective #8","1","19:31:07","N/A",
Bot375,"Гарри Питерский (Ray)",normal,1,Pending,"Post Office","Post Office: Objective #2","1","19:31:08","N/A",
Bot377,"Oscar Tuel",hard,27,Active,"Finance Building","Finance Building: Objective #2","1","19:32:37","N/A",
Bot378,"Ипполит Поливанов",hard,59,Active,"Koener Steak and Grill","Koener Steak and Grill: Objective #1","1","19:32:57","N/A",
Bot379,"Юрий Кобяков",hard,36,Completed,"Primorsky Extract Area","Primorsky Extract Area: Objective #1","1","19:32:57","19:33:02",
Bot379,"Юрий Кобяков",hard,36,Active,"S Cinema Store","S Cinema Store: Objective #1","1","19:33:07","N/A",
Bot382,"Иван Максимушкин",hard,31,Active,"Primorksy 48","Primorksy 48: Objective #2","1","19:33:28","N/A",
Bot383,"Виталлий Кутиков",hard,40,Active,"Pinewood Hotel Patrol","Pinewood Hotel Patrol: Objective #3","1","19:33:29","N/A",
Bot386,"Игорян Кот (Harrison)",normal,1,Completed,"Pinewood Hotel Sparja","Pinewood Hotel Sparja: Objective #4","1","19:33:59","19:34:17",
Bot386,"Игорян Кот (Harrison)",normal,1,Completed,"Pinewood Hotel Sparja","Pinewood Hotel Sparja: Objective #5","1","19:34:22","19:35:26",
Bot386,"Игорян Кот (Harrison)",normal,1,Completed,"Pinewood Hotel Sparja","Pinewood Hotel Sparja: Objective #3","1","19:35:31","19:35:53",
Bot389,"Вантуз Палач (Alfonso)",normal,1,Pending,"Klimova 16A","Klimova 16A: Objective #1","2","19:34:32","N/A",
