Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot32,"Pat Siders",hard,31,Completed,"Big Red Rush","Big Red Rush: Objective #1","1","20:38:14","20:40:07",
Bot32,"Pat Siders",hard,31,Completed,"Storage","Storage: Objective #2","1","20:40:12","20:40:51",
Bot33,"Del Geer",hard,44,Pending,"Big Red Rush","Big Red Rush: Objective #1","1","20:38:15","N/A",
Bot34,"Rodger Flavin",hard,17,Completed,"Big Red Rush","Big Red Rush: Objective #1","1","20:38:16","20:38:45",
Bot34,"Rodger Flavin",hard,17,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","20:38:50","20:39:34",
Bot35,"Lowell Hornberger",hard,21,Pending,"Golden Swag","Zone extraction_zone_zibbo","1","20:38:18","N/A",
Bot35,"Lowell Hornberger",hard,21,Completed,"Golden Swag","Item Golden Zibbo lighter","1","20:40:24","20:52:19",
Bot35,"Lowell Hornberger",hard,21,Pending,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","20:52:24","N/A",
Bot35,"Lowell Hornberger",hard,21,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #1","1","20:53:04","20:53:06",
Bot35,"Lowell Hornberger",hard,21,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #9","1","20:53:12","20:53:13",
Bot35,"Lowell Hornberger",hard,21,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #6","1","20:53:18","20:53:50",
Bot35,"Lowell Hornberger",hard,21,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #2","1","20:53:55","20:54:57",
Bot35,"Lowell Hornberger",hard,21,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #10","2","20:55:02","20:56:59",
Bot35,"Lowell Hornberger",hard,21,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #5","1","20:57:04","20:57:12",
Bot35,"Lowell Hornberger",hard,21,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #3","2","20:57:18","20:58:21",
Bot35,"Lowell Hornberger",hard,21,Active,"Dorms 3 Story","Dorms 3 Story: Objective #11","1","20:58:26","N/A",
Bot61,"Валерий Лебедь",hard,17,Completed,"Bad Rep Evidence","Item Secure Folder 0031","1","20:44:08","20:45:49",
Bot61,"Валерий Лебедь",hard,17,Completed,"Fortress","Fortress: Objective #3","1","20:45:54","20:46:32",
Bot61,"Валерий Лебедь",hard,17,Completed,"Fortress","Fortress: Objective #6","1","20:46:37","20:46:52",
Bot61,"Валерий Лебедь",hard,17,Failed,"Fortress","Fortress: Objective #9","2","20:46:57","20:49:01",
Bot78,"Gustavo Borgen",hard,40,Failed,"New Gas","New Gas: Objective #2","1","20:48:42","20:49:40",
Bot80,"Adan Pettit",hard,11,Completed,"Bad Rep Evidence","Item Secure Folder 0031","1","20:49:35","20:49:56",
Bot80,"Adan Pettit",hard,11,Failed,"Shaking up the Teller","Item Bank case","1","20:50:01","20:51:41",
Bot80,"Adan Pettit",hard,11,Failed,"Shaking up the Teller","Zone room214","1","20:51:46","20:55:50",
Bot80,"Adan Pettit",hard,11,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #6","1","20:55:55","20:56:33",
Bot80,"Adan Pettit",hard,11,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #9","1","20:56:38","20:58:33",
Bot80,"Adan Pettit",hard,11,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #1","1","20:58:38","20:59:33",
Bot80,"Adan Pettit",hard,11,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #2","1","20:59:38","21:00:18",
Bot80,"Adan Pettit",hard,11,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #10","2","21:00:23","21:02:52",
Bot80,"Adan Pettit",hard,11,Completed,"Dorms Camp 1","Dorms Camp 1: Objective #1","1","21:02:57","21:03:27",
Bot80,"Adan Pettit",hard,11,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #5","1","21:03:32","21:04:14",
Bot80,"Adan Pettit",hard,11,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #3","2","21:04:19","21:05:36",
Bot80,"Adan Pettit",hard,11,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #11","1","21:05:41","21:06:12",
Bot80,"Adan Pettit",hard,11,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #13","1","21:06:17","21:06:24",
Bot80,"Adan Pettit",hard,11,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #12","1","21:06:29","21:06:29",
Bot87,"Святослав Енин",hard,19,Failed,"The Extortionist","Zone dead_posylni","1","20:50:12","21:02:35",
Bot102,"Игнат Аглиуллин",hard,4,Completed,"Power Switch","Power Switch: Objective #1","2","20:54:25","20:56:00",
Bot102,"Игнат Аглиуллин",hard,4,Failed,"Giving Tree","Giving Tree: Objective #1","1","20:56:05","20:56:35",
Bot103,"Карл Овечкин",hard,11,Failed,"Out of Curiosity","Zone gazel","1","20:54:26","20:56:45",
Bot105,"Weldon Woodworth",hard,13,Failed,"BP Depot","Zone fuel1","1","20:54:35","20:55:45",
Bot105,"Weldon Woodworth",hard,13,Failed,"BP Depot","Zone fuel3","1","20:55:50","21:00:33",
Bot106,"Hai Edelstein",hard,44,Failed,"Short Cut","Short Cut: Objective #1","1","20:54:35","20:54:48",
Bot126,"Clifford Covin",hard,21,Completed,"Short Cut","Short Cut: Objective #1","1","20:59:26","21:00:28",
Bot126,"Clifford Covin",hard,21,Active,"Warehouse 4","Warehouse 4: Objective #3","1","21:00:33","N/A",
Bot127,"Salvatore Kucharski",hard,29,Pending,"Old Gas","Old Gas: Objective #2","1","20:59:28","N/A",
Bot128,"Jerold Eldred",hard,29,Pending,"Old Gas","Old Gas: Objective #2","1","20:59:29","N/A",
Bot129,"Tyree Rosenblum",hard,17,Completed,"Container near Dorms","Container near Dorms: Objective #1","1","20:59:42","21:00:27",
